N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
70,삼성엔지니어링,"23,350",800,-3.31%,"5,000","45,766","196,000",30.08,"4,866,151",16.17,16.75,
71,유한양행,"65,100",700,+1.09%,"1,000","45,552","69,973",18.61,"226,713",47.48,11.06,
72,팬오션,"8,390",200,+2.44%,"1,000","44,850","534,570",11.34,"7,156,006",35.70,3.25,
73,한진칼,"66,300","1,700",-2.50%,"2,500","44,159","66,605",15.06,"87,366",-53.99,-19.55,
74,이마트,"158,000","1,500",-0.94%,"5,000","44,044","27,876",32.14,"148,751",10.90,4.05,
75,삼성중공업,"6,850",50,-0.72%,"5,000","43,155","630,000",14.28,"4,293,842",-2.41,-33.06,
76,GS,"45,750","1,250",-2.66%,"5,000","42,509","92,915",19.48,"371,126",6.71,-2.82,
77,한미약품,"345,500","5,000",-1.43%,"2,500","41,730","12,078",13.27,"85,338",177.82,1.65,
78,쌍용C&E,"8,210",40,-0.48%,100,"41,367","503,860",3.44,"841,002",29.96,7.92,
79,CJ대한통운,"180,500",500,-0.28%,"5,000","41,176","22,812",23.01,"39,424",34.30,3.89,
80,롯데지주,"39,200",150,-0.38%,200,"41,124","104,909",8.34,"247,160",-96.31,-3.03,
81,현대차2우B,"112,000","1,500",-1.32%,"5,000","40,864","36,485",61.24,"64,761",13.55,N/A,
82,삼성카드,"35,150",300,+0.86%,"5,000","40,724","115,859",8.35,"297,933",9.58,5.69,
83,F&F,"520,000","5,000",-0.95%,500,"39,839","7,661",10.72,"35,987",N/A,N/A,
84,삼성증권,"44,100",350,-0.79%,"5,000","39,381","89,300",28.21,"322,967",5.04,9.89,
85,녹십자,"333,000","1,500",-0.45%,"5,000","38,916","11,687",21.17,"47,041",38.87,7.48,
86,DB손해보험,"54,500",600,-1.09%,500,"38,586","70,800",43.55,"161,196",6.23,9.08,
87,KODEX 200,"43,715",275,-0.63%,0,"38,294","87,600",3.89,"2,804,395",N/A,N/A,
88,효성티앤씨,"881,000",0,0.00%,"5,000","38,127","4,328",22.96,"26,627",14.88,25.10,
89,대우조선해양,"34,950",750,-2.10%,"5,000","37,498","107,291",7.22,"243,188",-9.59,2.27,
90,호텔신라,"93,900","3,300",-3.40%,"5,000","36,854","39,248",20.22,"878,398",-17.77,-36.74,
91,GS건설,"42,950",750,-1.72%,"5,000","36,757","85,581",26.47,"538,860",10.33,7.68,
92,현대오토에버,"129,500","1,000",+0.78%,500,"35,514","27,424",1.41,"72,354",46.15,11.09,
93,NH투자증권,"12,600",150,-1.18%,"5,000","35,458","281,409",17.80,"451,507",4.72,10.32,
94,신풍제약,"65,200","1,800",-2.69%,500,"34,546","52,985",8.68,"9,253,882",758.14,1.72,
95,일진머티리얼즈,"74,700",100,-0.13%,500,"34,445","46,111",9.51,"225,069",85.67,7.23,
96,현대미포조선,"85,100","2,400",-2.74%,"5,000","33,991","39,942",10.60,"483,594",-103.91,-0.84,
97,한국항공우주,"34,700",700,+2.06%,"5,000","33,824","97,475",13.68,"1,480,005",439.24,6.39,
98,한국가스공사,"36,600",800,-2.14%,"5,000","33,787","92,313",6.89,"503,945",-17.22,-2.24,
99,휠라홀딩스,"55,000",100,-0.18%,"1,000","33,414","60,752",46.53,"396,531",17.55,10.94,
100,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47,
101,씨에스윈드,"78,900",400,-0.50%,500,"33,273","42,171",11.13,"315,130",63.58,8.19,
102,한화시스템,"17,600",300,-1.68%,"5,000","33,250","188,919",2.98,"1,046,770",20.14,9.35,
103,메리츠증권,"4,815",5,-0.10%,"1,000","32,825","681,731",14.04,"1,510,050",5.32,13.08,
104,두산퓨얼셀,"49,950",650,-1.28%,100,"32,714","65,494",12.46,"508,024",282.20,4.18,
105,키움증권,"124,000","2,500",-1.98%,"5,000","32,477","26,191",23.42,"148,387",3.31,27.63,
106,롯데쇼핑,"114,000","1,000",-0.87%,"5,000","32,249","28,289",10.65,"60,027",-4.28,-7.70,
107,한화생명,"3,655",75,-2.01%,"5,000","31,745","868,530",7.40,"4,134,963",6.78,1.90,
108,대우건설,"7,550",140,-1.82%,"5,000","31,380","415,623",8.76,"8,407,022",8.48,11.06,
109,에스원,"82,400",600,-0.72%,500,"31,311","37,999",54.56,"50,077",20.95,10.48,
110,SK케미칼,"256,500","3,000",-1.16%,"5,000","30,142","11,751",18.23,"55,249",11.64,30.49,
111,동서,"30,200",100,-0.33%,500,"30,109","99,700",3.52,"64,605",26.33,8.61,
112,CJ,"102,500","2,500",-2.38%,"5,000","29,906","29,177",17.69,"108,848",-270.45,1.89,
113,만도,"63,500",800,-1.24%,"1,000","29,818","46,957",25.04,"397,959",64.08,0.37,
114,메리츠금융지주,"22,250",150,+0.68%,500,"29,818","134,011",7.88,"171,791",5.21,16.06,
115,DL이앤씨,"153,500",500,+0.33%,"5,000","29,716","19,359",28.85,"293,200",N/A,N/A,
116,LG화학우,"386,000","2,000",+0.52%,"5,000","29,679","7,689",66.48,"16,472",16.80,N/A,
117,포스코인터내셔널,"23,800",450,-1.86%,"5,000","29,363","123,375",12.14,"999,185",11.35,7.69,
118,KCC,"328,000","5,500",-1.65%,"5,000","29,148","8,886",11.64,"55,426",3.38,12.79,
119,제일기획,"25,250",500,+2.02%,200,"29,048","115,041",33.70,"366,419",17.51,16.11,
120,BGF리테일,"168,000","1,000",-0.59%,"1,000","29,037","17,284",31.96,"29,263",22.94,18.60,
121,GS리테일,"37,250",200,-0.53%,"1,000","28,682","77,000",10.56,"244,877",19.14,7.50,
122,OCI,"119,500","2,000",-1.65%,"5,000","28,500","23,849",16.36,"244,249",-18.73,-9.89,
123,더존비즈온,"93,700","1,800",+1.96%,500,"28,429","30,341",39.49,"367,791",52.17,15.09,
124,현대차우,"114,000",500,-0.44%,"5,000","27,767","24,357",58.86,"61,189",13.80,N/A,
